track_name,artist,album,duration_ms,genres,year
The Touch Of Your Lips,Various Artists,Top Hits Of The 1930s,214400,"['pop', 'post-teen pop', 'social media pop']",1980
If I Had A Talking Picture Of You,Various Artists,Top Hits Of The 1930s,214467,"['jovem guarda', 'mpb']",1980
Another One Bites The Dust - Remastered 2011,Queen,The Game (Deluxe Remastered Version),214653,"['banda', 'corrido', 'nuevo regional mexicano', 'ranchera', 'regional mexican']",1980
So What,P!nk,Funhouse (Expanded Edition),215160,"['dance pop', 'electropop', 'metropopolis', 'pop', 'pop rap', 'post-teen pop', 'swedish electropop', 'swedish pop', 'swedish synthpop']",1980
Ain't No Mountain High Enough,Diana Ross,Diamond Diana: The Legacy Collection,215200,"['boy band', 'dance pop', 'pop', 'post-teen pop', 'teen pop']",1980
We Found Love,Rihanna,Talk That Talk,215227,"['filmi', 'tamil pop']",1980
Wrap Your Troubles In Dreams,Various Artists,Top Hits Of The 1930s,215333,"['album rock', 'alternative metal', 'hard rock', 'metal', 'rock', 'speed metal']",1980
Dark Horse,Katy Perry,PRISM (Deluxe),215672,"['australian pop', 'pop']",1980
Hanging By A Moment,Lifehouse,No Name Face,216067,"['desi hip hop', 'desi pop', 'desi trap', 'hindi hip hop']",1980
Chandelier,Sia,1000 Forms Of Fear,216120,"['neo mellow', 'pop rock', 'viral pop']",1980
